resume: 0 verified UNSAT leaves already on record; 0 earlier CAP rows honoured
instance k211k24_n26_lex.cnf: p cnf 115775 227150 | top cubes 402 | cap 120s | resplit depth 8 | par 16
=== LEVEL 0: 402 cubes, 402 to solve ===
{'id': '9', 'result': 'UNSAT', 'secs': 0.5, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1701294, 'vnote': 'check rc0'}
{'id': '16', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 6, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1173733, 'vnote': 'check rc0'}
{'id': '19', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 9, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 487432, 'vnote': 'check rc0'}
{'id': '17', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1002987, 'vnote': 'check rc0'}
{'id': '28', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1892938, 'vnote': 'check rc0'}
{'id': '24', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1819375, 'vnote': 'check rc0'}
{'id': '18', 'result': 'UNSAT', 'secs': 0.6, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1923904, 'vnote': 'check rc0'}
{'id': '30', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1963584, 'vnote': 'check rc0'}
{'id': '26', 'result': 'UNSAT', 'secs': 0.5, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1890073, 'vnote': 'check rc0'}
{'id': '23', 'result': 'UNSAT', 'secs': 0.6, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 2097343, 'vnote': 'check rc0'}
{'id': '33', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 8, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 561495, 'vnote': 'check rc0'}
{'id': '32', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 6, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 540680, 'vnote': 'check rc0'}
{'id': '22', 'result': 'UNSAT', 'secs': 0.8, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 2326511, 'vnote': 'check rc0'}
{'id': '34', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 9, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1047261, 'vnote': 'check rc0'}
{'id': '21', 'result': 'UNSAT', 'secs': 1.0, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 2360593, 'vnote': 'check rc0'}
{'id': '37', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 9, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 434704, 'vnote': 'check rc0'}
{'id': '36', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1691033, 'vnote': 'check rc0'}
{'id': '38', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 814374, 'vnote': 'check rc0'}
{'id': '35', 'result': 'UNSAT', 'secs': 0.5, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1568080, 'vnote': 'check rc0'}
{'id': '40', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 582996, 'vnote': 'check rc0'}
{'id': '39', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.3, 'raw_bytes': 1743979, 'vnote': 'check rc0'}
{'id': '42', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1360368, 'vnote': 'check rc0'}
{'id': '41', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1400973, 'vnote': 'check rc0'}
{'id': '31', 'result': 'UNSAT', 'secs': 1.1, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 2464200, 'vnote': 'check rc0'}
{'id': '44', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 8, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 714150, 'vnote': 'check rc0'}
{'id': '20', 'result': 'UNSAT', 'secs': 1.5, 'nlits': 10, 'verified': True, 'vsecs': 0.3, 'raw_bytes': 2942150, 'vnote': 'check rc0'}
{'id': '43', 'result': 'UNSAT', 'secs': 0.5, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1151995, 'vnote': 'check rc0'}
{'id': '45', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 10, 'verified': True, 'vsecs': 0.3, 'raw_bytes': 567732, 'vnote': 'check rc0'}
{'id': '49', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 513027, 'vnote': 'check rc0'}
{'id': '46', 'result': 'UNSAT', 'secs': 0.5, 'nlits': 10, 'verified': True, 'vsecs': 0.3, 'raw_bytes': 1418607, 'vnote': 'check rc0'}
{'id': '50', 'result': 'UNSAT', 'secs': 0.3, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 420417, 'vnote': 'check rc0'}
{'id': '47', 'result': 'UNSAT', 'secs': 0.5, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 1763932, 'vnote': 'check rc0'}
{'id': '53', 'result': 'UNSAT', 'secs': 0.4, 'nlits': 10, 'verified': True, 'vsecs': 0.2, 'raw_bytes': 696722, 'vnote': 'check rc0'}
